Sample Number;X;Y;NI
879;734958.00;1237490.00;70.00
880;734929.00;1237500.00;70.00
881;734938.00;1237480.00;50.00
882;735858.00;1238950.00;30.00
883;735898.00;1238970.00;50.00
884;735858.00;1238860.00;20.00
885;735878.00;1238850.00;50.00
886;736056.00;1238530.00;50.00
887;736056.00;1238520.00;50.00
888;736275.00;1238340.00;15.00
889;736295.00;1238360.00;70.00
890;736275.00;1238340.00;70.00
893;732225.00;1235600.00;10.00
894;732195.00;1235610.00;10.00
895;732231.00;1235790.00;10.00
896;732246.00;1235800.00;10.00
897;732430.00;1236420.00;10.00
898;732454.00;1236330.00;10.00
899;732892.00;1236770.00;10.00
900;732903.00;1236800.00;10.00
901;733055.00;1237160.00;10.00
902;733035.00;1237190.00;10.00
903;732489.00;1237840.00;10.00
904;732509.00;1237860.00;10.00
905;732048.00;1237790.00;30.00
906;732054.00;1238010.00;50.00
907;731829.00;1237920.00;50.00
908;731783.00;1237910.00;15.00
909;731638.00;1237865.00;50.00
910;731618.00;1237860.00;5.00
911;731452.00;1237780.00;10.00
912;731398.00;1237810.00;10.00
913;731337.00;1237720.00;10.00
914;731282.00;1237805.00;5.00
915;731068.00;1237860.00;10.00
916;731007.00;1237740.00;15.00
917;730616.00;1237730.00;20.00
918;730586.00;1237735.00;5.00
919;730472.00;1237785.00;10.00
920;730466.00;1237645.00;7.00
921;730385.00;1237495.00;10.00
922;730375.00;1237550.00;10.00
923;733175.00;1237180.00;7.00
924;733185.00;1237170.00;7.00
925;733291.00;1237270.00;7.00
926;733291.00;1237280.00;7.00
927;733388.00;1237560.00;15.00
928;733358.00;1237560.00;7.00
929;733499.00;1237740.00;7.00
930;733534.00;1237830.00;7.00
931;733549.00;1237830.00;7.00
932;733872.00;1238210.00;7.00
933;733852.00;1238210.00;7.00
934;734262.00;1238220.00;7.00
935;734252.00;1238190.00;7.00
936;734282.00;1238150.00;7.00
937;734292.00;1238160.00;7.00
938;734352.00;1238200.00;7.00
939;734367.00;1238210.00;7.00
940;734403.00;1238265.00;7.00
941;734388.00;1238265.00;7.00
942;734393.00;1238310.00;7.00
943;734403.00;1238300.00;7.00
944;734674.00;1238350.00;7.00
945;734663.00;1238330.00;7.00
946;732280.00;1238100.00;10.00
947;732250.00;1238140.00;10.00
948;732270.00;1238130.00;7.00
949;732231.00;1238210.00;7.00
950;732241.00;1238225.00;7.00
951;732252.00;1238350.00;7.00
952;732242.00;1238350.00;7.00
953;732385.00;1238940.00;7.00
954;732375.00;1238960.00;7.00
955;732025.00;1239000.00;7.00
956;732006.00;1239030.00;7.00
957;731835.00;1239020.00;10.00
958;731845.00;1239030.00;7.00
959;731736.00;1239090.00;7.00
960;731746.00;1239100.00;7.00
961;731456.00;1239220.00;7.00
962;731456.00;1239240.00;7.00
963;733043.00;1236860.00;5.00
964;733033.00;1236880.00;5.00
965;732964.00;1236950.00;5.00
966;733059.00;1237025.00;5.00
967;733069.00;1237040.00;5.00
968;733464.00;1237015.00;3.00
969;733464.00;1237000.00;5.00
970;732206.00;1232570.00;5.00
971;730168.00;1233100.00;15.00
972;730178.00;1233115.00;20.00
973;730617.00;1232970.00;30.00
974;730617.00;1232980.00;20.00
975;730707.00;1232960.00;30.00
976;730697.00;1232950.00;50.00
977;730666.00;1232730.00;20.00
978;730656.00;1232750.00;30.00
979;730654.00;1232520.00;30.00
980;730634.00;1232520.00;20.00
981;730813.00;1232280.00;20.00
982;730813.00;1232270.00;50.00
983;731031.00;1231900.00;50.00
984;731041.00;1231920.00;50.00
985;731335.00;1231660.00;20.00
986;731350.00;1231680.00;70.00
987;731410.00;1231640.00;100.00
988;731420.00;1231660.00;30.00
989;731070.00;1231780.00;50.00
990;731070.00;1231750.00;15.00
991;731050.00;1231700.00;3.00
992;731080.00;1231700.00;20.00
993;731169.00;1231620.00;20.00
994;731159.00;1231620.00;10.00
995;731129.00;1231570.00;10.00
996;731223.00;1231410.00;50.00
997;731248.00;1231410.00;50.00
998;732087.00;1232700.00;30.00
999;732077.00;1232690.00;15.00
1000;732257.00;1232735.00;30.00
1001;732257.00;1232750.00;20.00
1002;731714.00;1232370.00;10.00
1003;731715.00;1232380.00;15.00
1004;731504.00;1232260.00;15.00
1005;731504.00;1232250.00;15.00
1006;732024.00;1232300.00;3.00
1007;732024.00;1232270.00;20.00
1008;732053.00;1232120.00;20.00
1009;732063.00;1232130.00;15.00
1010;732193.00;1232000.00;15.00
1011;732193.00;1231990.00;20.00
1012;732207.00;1231940.00;30.00
1013;732222.00;1231935.00;15.00
1014;734920.00;1236140.00;5.00
1015;734890.00;1236140.00;30.00
1016;734561.00;1236340.00;7.00
1017;734574.00;1236310.00;50.00
1018;734521.00;1236300.00;15.00
1019;734531.00;1236280.00;10.00
1020;734470.00;1236220.00;50.00
1021;734220.00;1236200.00;30.00
1022;734221.00;1236300.00;15.00
1023;734204.00;1236800.00;5.00
1024;734220.00;1236260.00;50.00
1025;734041.00;1236330.00;30.00
1026;734011.00;1236320.00;15.00
1027;733801.00;1236370.00;15.00
1028;733811.00;1236380.00;15.00
1029;733862.00;1236620.00;30.00
1030;734412.00;1236430.00;15.00
1031;734302.00;1236520.00;10.00
1032;734062.00;1236480.00;10.00
1033;734071.00;1236470.00;50.00
1034;734103.00;1236750.00;30.00
1035;734123.00;1236770.00;50.00
1036;733651.00;1236430.00;15.00
1037;733609.00;1237790.00;20.00
1038;733769.00;1237710.00;15.00
